step,base_reward,life_penalty,alignment_reward,edge_penalty,jitter_reward,total_reward
1000,0.003,-0.064,0.7328117647058813,0.3348046875,-0.010379999999999867,0.12507368566176474
2000,0.008,-0.05,0.7600470588235293,0.3556953125,-0.010279999999999869,0.15948880514705888
3000,0.006,-0.056,0.7107647058823535,0.419140625,-0.008959999999999899,0.12834597426470595
4000,0.007,-0.048,0.7087450980392163,0.4337734375,-0.009759999999999882,0.13616118566176455
5000,0.012,-0.034,0.7498274509803938,0.4356796875,-0.010159999999999872,0.17573354779411754
6000,0.01,-0.044,0.7256941176470584,0.4071640625,-0.00935999999999989,0.1564052665441181
7000,0.002,-0.068,0.7102980392156865,0.35121875,-0.010839999999999858,0.10997909926470585
8000,0.01,-0.04,0.7366392156862737,0.467484375,-0.01023999999999987,0.15737285845588256
9000,0.008,-0.048,0.7076784313725504,0.4275703125,-0.009679999999999883,0.13984540441176474
10000,0.006,-0.058,0.7401568627450976,0.4008203125,-0.009599999999999885,0.1365876838235295
11000,0.007,-0.054,0.7538156862745097,0.37896875,-0.009639999999999883,0.14923283088235278
12000,0.005,-0.058,0.7453764705882358,0.3726796875,-0.010479999999999866,0.1369563786764704
13000,0.006,-0.056,0.7342549019607854,0.3740546875,-0.009399999999999888,0.13942568933823532
14000,0.01,-0.048,0.7942666666666666,0.3346484375,-0.01019999999999987,0.1792229687500001
15000,0.007,-0.056,0.8098705882352945,0.3175703125,-0.010639999999999861,0.1685047702205885
16000,0.005,-0.058,0.7749960784313731,0.3655546875,-0.010159999999999872,0.14692085477941172
17000,0.009,-0.05,0.7581450980392166,0.4150234375,-0.009079999999999895,0.15756196691176463
18000,0.007,-0.052,0.7707882352941176,0.324765625,-0.00935999999999989,0.1610647518382352
19000,0.007,-0.056,0.8110039215686276,0.30009375,-0.01019999999999987,0.17125977022058805
20000,0.006,-0.058,0.7924941176470585,0.3081328125,-0.01023999999999987,0.15983636029411763
21000,0.008,-0.048,0.7951254901960784,0.3058125,-0.009239999999999892,0.17747264705882349
22000,0.006,-0.058,0.8032313725490188,0.2964765625,-0.008759999999999902,0.1655906617647057
23000,0.009,-0.048,0.7852431372549017,0.3176484375,-0.008279999999999912,0.17710778492647067
24000,0.005,-0.058,0.7746078431372553,0.287046875,-0.009759999999999882,0.15474735294117628
25000,0.01,-0.044,0.8268352941176472,0.2436875,-0.009119999999999894,0.20233996323529385
26000,0.009,-0.05,0.818454901960785,0.29896875,-0.008199999999999914,0.1873677205882353
27000,0.003,-0.066,0.8061607843137252,0.2541171875,-0.00935999999999989,0.1537835477941176
28000,0.006,-0.056,0.7994509803921565,0.268234375,-0.008639999999999905,0.16898357536764674
29000,0.007,-0.056,0.8266705882352945,0.260765625,-0.0088799999999999,0.1808766452205884
30000,0.006,-0.056,0.8112705882352942,0.2888828125,-0.0088399999999999,0.1706107077205882
31000,0.007,-0.054,0.7545450980392164,0.339265625,-0.007439999999999929,0.1555055606617646
32000,0.007,-0.056,0.7983411764705879,0.27753125,-0.008559999999999906,0.17107125919117644
33000,0.003,-0.068,0.8263921568627459,0.2479609375,-0.0074799999999999285,0.15945170955882382
34000,0.007,-0.054,0.7720431372549018,0.3108046875,-0.007759999999999922,0.16249122242647046
35000,0.006,-0.058,0.8347843137254889,0.2416796875,-0.007559999999999927,0.1811315441176472
