step,base_reward,life_penalty,alignment_reward,edge_penalty,jitter_reward,total_reward
36000,0.007,-0.06,0.8321098039215687,0.24115625,-0.007679999999999924,0.18183497242647043
37000,0.005,-0.064,0.8064039215686273,0.273875,-0.008759999999999902,0.15969477022058834
38000,0.006,-0.058,0.8052352941176476,0.2459375,-0.007759999999999922,0.1713473069852942
39000,0.009,-0.048,0.8369764705882352,0.2492734375,-0.008519999999999908,0.19881590992647052
40000,0.008,-0.054,0.8355803921568628,0.2557578125,-0.008079999999999917,0.18943239889705865
41000,0.007,-0.062,0.8595882352941167,0.2206953125,-0.0088399999999999,0.18858803308823507
42000,0.011,-0.048,0.8370470588235291,0.26740625,-0.007359999999999931,0.20395880514705858
43000,0.004,-0.066,0.8285921568627441,0.2154296875,-0.00739999999999993,0.16861905330882357
44000,0.008,-0.054,0.8496588235294124,0.2301953125,-0.007519999999999928,0.1959674908088235
45000,0.009,-0.05,0.8696431372549,0.1974453125,-0.0069999999999999386,0.21301481617647086
46000,0.009,-0.054,0.8511333333333323,0.2284140625,-0.0071599999999999355,0.20036984375000003
47000,0.006,-0.062,0.833047058823529,0.249359375,-0.00647999999999995,0.1768692738970588
48000,0.005,-0.064,0.8364901960784309,0.265546875,-0.00599999999999996,0.1724056525735292
49000,0.005,-0.062,0.8617137254901982,0.2015,-0.0063599999999999525,0.18742364889705868
50000,0.007,-0.056,0.8559450980392178,0.25221875,-0.006599999999999947,0.19313821691176472
51000,0.009,-0.05,0.8639490196078433,0.25790625,-0.0066799999999999455,0.2062484558823527
52000,0.009,-0.048,0.8469568627450976,0.2367109375,-0.0058799999999999625,0.20567190257352935
53000,0.009,-0.05,0.8485490196078436,0.23021875,-0.006559999999999948,0.20437658088235264
54000,0.005,-0.056,0.8751058823529418,0.2241015625,-0.005199999999999977,0.19677551470588237
55000,0.003,-0.056,0.8882470588235283,0.2246796875,-0.005319999999999975,0.1943142738970589
56000,0.008,-0.048,0.8548000000000004,0.2348828125,-0.004040000000000002,0.20722656249999993
57000,0.006,-0.048,0.8811568627450987,0.2289375,-0.006519999999999949,0.20758643382352945
58000,0.006,-0.06,0.8698549019607842,0.202859375,-0.004080000000000001,0.19748818933823495
59000,0.007,-0.062,0.8795215686274512,0.2343203125,-0.00503999999999998,0.19731568933823526
60000,0.014,-0.034,0.8732823529411776,0.20121875,-0.005199999999999977,0.24633314338235254
61000,0.012,-0.04,0.873470588235294,0.204359375,-0.004359999999999995,0.23469367647058814
62000,0.007,-0.052,0.8774705882352948,0.2038125,-0.0032800000000000025,0.2106705514705882
63000,0.011,-0.048,0.8658156862745103,0.2276484375,-0.003840000000000003,0.22050861213235307
64000,0.008,-0.052,0.8693607843137265,0.209609375,-0.004559999999999991,0.20904276654411771
65000,0.008,-0.054,0.8666549019607844,0.2265625,-0.003800000000000003,0.20625193933823527
66000,0.01,-0.048,0.876701960784314,0.207171875,-0.002880000000000002,0.223335275735294
67000,0.011,-0.046,0.8802980392156846,0.1901328125,-0.004000000000000003,0.22972925551470594
68000,0.01,-0.05,0.875117647058824,0.180578125,-0.003600000000000003,0.22254701286764686
69000,0.012,-0.042,0.8741568627450984,0.206640625,-0.004399999999999994,0.23295096507352928
70000,0.004,-0.07,0.8686078431372544,0.1866875,-0.0008800000000000004,0.18569766544117647
71000,0.006,-0.06,0.8789921568627443,0.226578125,-0.003600000000000003,0.19852733455882354
72000,0.008,-0.056,0.853443137254903,0.232078125,-0.0012800000000000008,0.2020295036764709
73000,0.011,-0.048,0.8731254901960774,0.18353125,-0.002880000000000002,0.22755139705882366
74000,0.011,-0.048,0.8745686274509803,0.189390625,-0.0019600000000000012,0.2283691819852943
75000,0.018,-0.038,0.8677215686274513,0.1755859375,-0.0032000000000000023,0.2567461580882354
76000,0.005,-0.062,0.8792980392156861,0.19353125,-0.0032000000000000023,0.19728784926470602
77000,0.015,-0.038,0.8745647058823529,0.200015625,-0.0022800000000000016,0.2486339430147059
78000,0.008,-0.054,0.8841882352941182,0.213640625,-0.001720000000000001,0.21460912683823527
79000,0.01,-0.044,0.8811647058823542,0.229796875,-0.002800000000000002,0.22708222426470598
80000,0.008,-0.052,0.874027450980392,0.2241484375,-0.0007600000000000003,0.2134958915441177
81000,0.012,-0.044,0.8838196078431373,0.218421875,-0.0011200000000000006,0.23659619485294092
82000,0.008,-0.056,0.8796705882352935,0.245453125,-0.0014400000000000007,0.2087791452205883
83000,0.013,-0.034,0.8780627450980395,0.248234375,-0.00035999999999999986,0.2451549172794118
84000,0.009,-0.054,0.881678431372549,0.2116015625,-0.00031999999999999986,0.21848509191176435
85000,0.012,-0.042,0.8873411764705884,0.217359375,-0.0007600000000000003,0.2394118841911765
86000,0.011,-0.044,0.8844784313725496,0.229453125,-0.0012000000000000005,0.23254587316176445
87000,0.006,-0.062,0.8688941176470599,0.219140625,0.0012000000000000005,0.19890495404411795
88000,0.01,-0.048,0.8884117647058838,0.1788046875,-0.0009200000000000005,0.23145899816176488
89000,0.014,-0.05,0.8834784313725491,0.2005625,0.0008800000000000004,0.24039696691176468
90000,0.015,-0.038,0.9033058823529415,0.2010546875,-0.0021200000000000012,0.2572912959558821
91000,0.014,-0.034,0.8751725490196078,0.2516328125,0.0016800000000000012,0.24895363970588216
92000,0.01,-0.046,0.8876549019607847,0.20484375,0.0009200000000000006,0.23310006433823502
93000,0.01,-0.05,0.8853372549019608,0.1943515625,0.0006800000000000002,0.22855070772058794
94000,0.012,-0.038,0.8587882352941172,0.2601015625,0.0020400000000000014,0.23386865808823556
95000,0.019,-0.022,0.8987215686274506,0.1790703125,8e-05,0.28729334558823527
96000,0.016,-0.038,0.8773647058823538,0.204046875,0.0020000000000000013,0.2562601930147056
97000,0.011,-0.046,0.8844862745098053,0.198265625,0.0030000000000000022,0.23745838235294126
98000,0.007,-0.058,0.89069411764706,0.2021015625,0.003840000000000003,0.2162802665441176
99000,0.013,-0.038,0.8842509803921571,0.209109375,0.0034400000000000025,0.2504777941176471
100000,0.015,-0.046,0.8842156862745106,0.156078125,0.00503999999999998,0.25506251838235267
101000,0.013,-0.04,0.8918274509803921,0.1706484375,0.0039600000000000034,0.25455979779411736
102000,0.015,-0.032,0.8805607843137251,0.2026484375,0.004080000000000001,0.26217948529411766
103000,0.014,-0.036,0.8954235294117665,0.198109375,0.0024000000000000015,0.2586317463235295
104000,0.009,-0.052,0.8807333333333333,0.172796875,0.003760000000000003,0.22712062500000008
105000,0.015,-0.04,0.8535058823529413,0.2550703125,0.004559999999999991,0.24194223345588237
106000,0.015,-0.048,0.9005764705882355,0.22253125,0.0035200000000000027,0.2505265349264703
107000,0.016,-0.03,0.8800901960784324,0.2118671875,0.002520000000000002,0.26486580882352934
108000,0.018,-0.032,0.894019607843138,0.1826328125,0.003840000000000003,0.2767904136029413
109000,0.014,-0.032,0.8767529411764706,0.1770546875,0.0063599999999999525,0.263147601102941
110000,0.016,-0.034,0.8784666666666673,0.20921875,0.005159999999999978,0.26302812500000006
111000,0.019,-0.032,0.878619607843138,0.224375,0.006239999999999955,0.27334072610294097
112000,0.017,-0.032,0.8881450980392165,0.2033125,0.005279999999999976,0.2717313419117648
113000,0.02,-0.026,0.8961686274509815,0.2223203125,0.004839999999999985,0.28668980698529417
114000,0.017,-0.034,0.8847725490196092,0.2168046875,0.003760000000000003,0.2658292647058818
115000,0.021,-0.022,0.8896980392156867,0.1990625,0.005119999999999979,0.2937137867647059
116000,0.018,-0.024,0.8867450980392153,0.2245703125,0.004399999999999994,0.27905634191176476
117000,0.017,-0.026,0.8713882352941178,0.2125625,0.005719999999999966,0.2720005330882354
118000,0.015,-0.03,0.9014784313725491,0.21340625,0.004919999999999983,0.27030962316176455
119000,0.016,-0.028,0.8814627450980393,0.229765625,0.006559999999999948,0.26953241727941185
120000,0.022,-0.03,0.8716431372549025,0.214,0.006239999999999955,0.2836798161764704
121000,0.018,-0.024,0.895623529411766,0.2186015625,0.005679999999999967,0.2833334650735298
122000,0.017,-0.032,0.8977803921568644,0.255359375,0.0058799999999999625,0.26986489889705856
123000,0.025,-0.02,0.8961372549019619,0.2616953125,0.004879999999999984,0.3031774264705884
124000,0.016,-0.03,0.8891372549019628,0.2533203125,0.0055599999999999695,0.26658008272058803
125000,0.019,-0.03,0.8967725490196103,0.2329921875,0.004999999999999981,0.27889660845588216
126000,0.019,-0.022,0.8995843137254911,0.2331328125,0.0060399999999999595,0.2885785753676474
127000,0.019,-0.02,0.8945215686274531,0.2431015625,0.006599999999999947,0.28834318933823555
128000,0.019,-0.032,0.8989450980392173,0.213484375,0.0071599999999999355,0.28159899816176437
129000,0.018,-0.028,0.8708705882352928,0.20259375,0.007079999999999937,0.27473805147058844
130000,0.019,-0.026,0.8954941176470615,0.2541015625,0.005199999999999977,0.2807872977941179
131000,0.021,-0.022,0.8877058823529431,0.2681328125,0.004639999999999989,0.2862478584558823
132000,0.026,-0.022,0.8888549019607848,0.292828125,0.004439999999999993,0.29928553308823536
133000,0.017,-0.028,0.882349019607844,0.2895859375,0.006239999999999955,0.2666572058823526
134000,0.015,-0.032,0.8911098039215692,0.2503125,0.006799999999999943,0.26363372242647093
135000,0.02,-0.022,0.8947137254901968,0.268390625,0.0061999999999999555,0.28701802389705894
136000,0.02,-0.022,0.8908588235294115,0.2694921875,0.006159999999999956,0.2853270220588233
137000,0.026,-0.022,0.8827882352941168,0.2323359375,0.005719999999999966,0.3041705330882354
138000,0.02,-0.034,0.8899215686274521,0.2801953125,0.005759999999999965,0.27231537683823526
139000,0.026,-0.02,0.8867372549019609,0.3024765625,0.005439999999999972,0.30039320772058836
140000,0.021,-0.02,0.902890196078433,0.2887265625,0.005839999999999963,0.29168987132352936
141000,0.022,-0.028,0.8787490196078453,0.28765625,0.0063599999999999525,0.2807159558823528
142000,0.018,-0.028,0.8887411764705895,0.29678125,0.006759999999999944,0.27154016544117665
143000,0.019,-0.022,0.8919764705882369,0.259125,0.0053999999999999725,0.28291794117647057
144000,0.016,-0.022,0.8031294117647091,0.3631484375,0.007719999999999923,0.23969319852941098
145000,0.019,-0.022,0.8848274509803923,0.25484375,0.004080000000000001,0.2803071415441177
146000,0.023,-0.026,0.9102000000000006,0.26928125,0.005679999999999967,0.29638453124999975
147000,0.019,-0.026,0.887470588235295,0.232234375,0.004879999999999984,0.2801094577205881
148000,0.024,-0.016,0.8900588235294135,0.2910390625,0.003880000000000003,0.2988937408088239
149000,0.011,-0.032,0.8458784313725507,0.2661328125,0.00831999999999991,0.23805852941176533
150000,0.019,-0.022,0.9069882352941194,0.269015625,0.003800000000000003,0.28564412683823553
151000,0.019,-0.028,0.9014745098039219,0.27984375,0.006159999999999956,0.2792890716911764
152000,0.021,-0.018,0.8914156862745106,0.264078125,0.005319999999999975,0.2921954871323531
153000,0.021,-0.018,0.8888862745098044,0.27215625,0.005119999999999979,0.2904343198529407
