step,loss,q_mean,q_max
10000,0.14402168989181519,0.024406209588050842,0.035068318247795105
10004,0.018598655238747597,0.03484710678458214,0.048760950565338135
10008,0.05507148429751396,0.04423549398779869,0.06001857668161392
10012,0.05596840754151344,0.05347264185547829,0.07081249356269836
10016,0.050851814448833466,0.06312772631645203,0.07918520271778107
10020,0.09976764768362045,0.07287152111530304,0.08680912852287292
10024,0.14396493136882782,0.08174990862607956,0.09835996478796005
10028,0.0989031046628952,0.09043599665164948,0.10861708223819733
10032,0.09060084074735641,0.09983864426612854,0.12370900809764862
10036,0.04802599176764488,0.11085285246372223,0.1353432685136795
10040,0.008317348547279835,0.12402869760990143,0.14797574281692505
10044,0.005513728596270084,0.13991573452949524,0.1616767942905426
10048,0.050233691930770874,0.15683028101921082,0.18216368556022644
10052,0.002447060775011778,0.17591997981071472,0.20674997568130493
10056,0.0016772783128544688,0.19664008915424347,0.2314860224723816
10060,0.05043105036020279,0.21472924947738647,0.2534002363681793
10064,0.0023752301931381226,0.2281304895877838,0.268454372882843
10068,0.17870935797691345,0.23603330552577972,0.27683889865875244
10072,0.05206042155623436,0.23526287078857422,0.2731308937072754
10076,0.0033149151131510735,0.23018690943717957,0.26243865489959717
10080,0.07862518727779388,0.22544798254966736,0.24959594011306763
10084,0.08084554225206375,0.2206324338912964,0.24861273169517517
10088,0.050122667104005814,0.21277479827404022,0.2479250431060791
10092,0.07678442448377609,0.20759502053260803,0.2516498267650604
10096,0.04931534081697464,0.20024800300598145,0.2511596083641052
10100,0.09858168661594391,0.1901227980852127,0.24632197618484497
10104,0.0023123444989323616,0.18234199285507202,0.24162177741527557
10108,0.002278887666761875,0.17616325616836548,0.2350594401359558
10112,0.20313675701618195,0.17292258143424988,0.22909775376319885
10116,0.08183062076568604,0.17109110951423645,0.22249823808670044
10120,0.0043399883434176445,0.17038582265377045,0.2151358425617218
10124,0.07817989587783813,0.17221327126026154,0.20935040712356567
10128,0.0024988942313939333,0.17513597011566162,0.204488143324852
10132,0.001815539668314159,0.1785830855369568,0.20000064373016357
10136,0.002210699487477541,0.18204697966575623,0.20475654304027557
10140,0.05040164291858673,0.18538297712802887,0.2100011110305786
10144,0.0021961263846606016,0.1884586215019226,0.2146809697151184
10148,0.002302756765857339,0.19245000183582306,0.21981537342071533
10152,0.05055564269423485,0.19528719782829285,0.22431322932243347
10156,0.05009288340806961,0.19695119559764862,0.2246568202972412
10160,0.0018029918428510427,0.1991153061389923,0.2260589599609375
10164,0.0533551350235939,0.20046357810497284,0.22689223289489746
10168,0.05248178914189339,0.19943168759346008,0.22574205696582794
10172,0.04816184565424919,0.19705477356910706,0.22381380200386047
10176,0.07628531008958817,0.19746850430965424,0.22374892234802246
10180,0.001749786431901157,0.19788619875907898,0.22202056646347046
10184,0.05212660878896713,0.19792421162128448,0.2176159918308258
10188,0.048853710293769836,0.19515946507453918,0.2118191421031952
10192,0.048846498131752014,0.19101063907146454,0.20495812594890594
10196,0.047592658549547195,0.1864366978406906,0.1981542706489563
10200,0.12925006449222565,0.18275076150894165,0.18965908885002136
10204,0.09595338255167007,0.17756734788417816,0.1895495355129242
10208,0.002022922271862626,0.17435884475708008,0.193490669131279
10212,0.05077225714921951,0.17137411236763,0.19447672367095947
10216,0.0503104105591774,0.167927548289299,0.19401565194129944
10220,0.12832129001617432,0.16608110070228577,0.19150033593177795
10224,0.049258992075920105,0.16510523855686188,0.19063930213451385
10228,0.04780213162302971,0.16445639729499817,0.18972159922122955
10232,0.0018313390901312232,0.1647486388683319,0.19000141322612762
10236,0.002921344479545951,0.16681940853595734,0.19106201827526093
10240,0.09934478998184204,0.16746725142002106,0.19130533933639526
10244,0.09248989075422287,0.16644525527954102,0.19026318192481995
10248,0.07880149036645889,0.16850446164608002,0.19157253205776215
10252,0.07716307044029236,0.1729695349931717,0.1967530995607376
10256,0.0025077899917960167,0.17837457358837128,0.20190854370594025
